Transaction,EquipmentCode,Success,GasUsed,LatencyMs,BlockNumber,TransactionHash
74,WL-10074-1787670222519-130014,1,499269,4332.616,7133,0x1a7806a9c43024f16b93b4fa856876470aa7a90c99ce2835b59ea28253d344f7
75,WL-10075-1787670226853-525094,1,499269,4231.336,7136,0xfb0fd1a3c999f7a80d3918fb8d4b8086ab74712a12403b0a9528e540ad5fcc54
76,WL-10076-1787670231084-525182,1,499269,4264.606,7138,0x0a43dee4c865fecd600ced10bd6a7d9d7a7ad9703360f2560d99d33ba0036081
77,WL-10077-1787670235349-552834,1,499269,4183.655,7140,0x4ceaec04b7e7be1869d6d7915ef01b859e4408cfc06ad64d45555e4765da9411
78,WL-10078-1787670239533-769720,1,499269,4182.601,7142,0xde2b110c6e5bcc7468c821df0b38e7ed30ea2f2d9d16cbce624507db7f2c4a28
79,WL-10079-1787670243715-921463,1,499269,4265.079,7144,0xadeac409ead219468c1e0bb6f76df626af892071c68f85f8ef23efdc2e0adfbc
80,WL-10080-1787670247980-163868,1,499269,4486.146,7146,0x68f0bbba1e23329cce71a62e92ae794e5f7b0a7a0fdb939fb5e1c232e98e5a1b
81,WL-10081-1787670252467-382433,1,499269,4231.544,7148,0x9d282abc99d693dc3585125d33379ace322d0efe413cd8dbca53932609fb8840
82,WL-10082-1787670256698-540821,1,499269,4262.998,7150,0x88d65f6530f061a31fc4bb6d65b564f2ee078133b96ef3f46403224f852aa88a
83,WL-10083-1787670260961-601550,1,499269,4268.352,7153,0x41ac9d71442c3c571f058d7ca186fad73bff7aa7e3604b84ebe48a85f7f80f8e
84,WL-10084-1787670265230-619668,1,499269,4216.664,7155,0xc2a1da4c24ce2a9ed5283767b4d5c6331359cb06cc3fc7dd6e5c8d899e14c284
85,WL-10085-1787670269446-849924,1,499269,4763.008,7157,0x237cce388c0b7317a5a437507e46925e42362f2c1cb6266ad5263eb75a761127
86,WL-10086-1787670274210-647501,1,499269,5233.977,7160,0xc7b9923dc7f56c33c737e0b30ab336140c4dfafdaa9261c374278c6cff414bb1
