Transaction,EquipmentCode,Success,GasUsed,LatencyMs,BlockNumber,TransactionHash,Error
1,WL-10001-1787672988936-55231,1,516342,4202.246,8510,0x9c6c85c0e78000f5d08eb66709bcf378a4588847766cb75d59fae0785b3f0fe8,""
2,WL-10002-1787672993139-112042,1,499269,4254.547,8512,0x7ed0bb47a9a9a5ceb3b2a7d18c9ffd672c3fa8d70bdc1903b3dd96466cc6628a,""
3,WL-10003-1787672997394-884803,1,499269,4222.524,8514,0x982a5057901a0059301871dcc9c815fb765e28456b6eed0646f29b899a08d503,""
4,WL-10004-1787673001618-98002,1,499242,4173.124,8516,0x14faca8fde456f5cb5e208eb0aaa95a6166069d472ddb51e6a84d3489d58bf92,""
5,WL-10005-1787673005791-762177,1,499269,4156.755,8518,0x970b2144adea0b0af9ecae9a1db537ecc1e50d371c0836b070506836fa222bf2,""
