Transaction,EquipmentCode,Success,GasUsed,LatencyMs,BlockNumber,TransactionHash,Error
1,WL-10001-1787720081908-400944,1,516369,10316.611,10909,0xa7b7c047e22cf1150e2a16c98155d57353cf8930ddd2e37c8ce0790f3d5262e0,""
2,WL-10002-1787720092228-703795,1,499269,4377.962,10913,0xea4c664c04a048e22f926539dfcccd78387ac9f77d471a8fb24ea76354515741,""
3,WL-10003-1787720096606-106196,1,499269,4317.324,10915,0xdece48f7e856fd9424cc73198c34b603e1dab7cc0a815cc8441b655696d3b54a,""
4,WL-10004-1787720100924-455489,1,499269,4264.837,10917,0x70d2b8d6e801b8f2a173dd4f773586802cd541ab622103f0566ab41c21591be4,""
5,WL-10005-1787720105189-655087,1,499269,11171.360,10919,0xeb0fdd8acc568925d9daebcb2ce696c1114aa94bcab9839a5f9d4d54830cbde7,""
